latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
38.488575,27.109905,114.0,10800,Europe/Istanbul,GMT+3

time,temperature_2m_max (°C),precipitation_sum (mm)
2026-01-01,4.2,0.00
2026-01-02,6.9,0.00
2026-01-03,11.3,15.90
2026-01-04,16.4,8.80
2026-01-05,16.0,0.00
2026-01-06,17.8,0.40
2026-01-07,19.0,6.20
2026-01-08,16.3,22.50
2026-01-09,10.9,3.00
2026-01-10,17.3,13.70
2026-01-11,13.8,28.70
2026-01-12,8.5,1.30
2026-01-13,6.2,0.00
2026-01-14,11.5,0.00
2026-01-15,13.1,0.00
2026-01-16,14.7,0.00
2026-01-17,9.0,0.00
2026-01-18,7.4,0.00
2026-01-19,6.6,0.00
2026-01-20,8.7,0.00
2026-01-21,9.4,4.00
2026-01-22,14.2,3.40
2026-01-23,14.3,6.00
2026-01-24,15.5,1.60
2026-01-25,17.1,0.40
2026-01-26,16.6,5.40
2026-01-27,13.2,16.80
2026-01-28,15.1,0.40
2026-01-29,16.8,23.90
2026-01-30,16.5,34.60
2026-01-31,15.2,25.00
2026-02-01,15.9,22.90
2026-02-02,12.9,22.80
2026-02-03,12.8,0.00
2026-02-04,15.8,0.00
2026-02-05,12.7,40.20
2026-02-06,16.3,21.60
2026-02-07,18.8,21.40
2026-02-08,15.5,4.40
2026-02-09,15.6,7.10
2026-02-10,11.8,9.30
2026-02-11,13.9,0.30
2026-02-12,15.4,19.60
2026-02-13,13.9,46.50
2026-02-14,17.9,7.90
2026-02-15,19.8,0.10
2026-02-16,18.1,26.10
2026-02-17,13.6,25.70
2026-02-18,10.5,16.30
2026-02-19,13.7,0.00
2026-02-20,15.8,0.00
2026-02-21,12.1,19.00
2026-02-22,12.7,2.00
2026-02-23,12.8,0.00
2026-02-24,15.8,0.00
2026-02-25,13.5,6.40
2026-02-26,11.0,0.00
2026-02-27,11.1,0.00
2026-02-28,11.7,0.00
2026-03-01,13.3,0.00
2026-03-02,15.8,0.00
2026-03-03,16.0,0.00
2026-03-04,16.4,0.00
2026-03-05,15.6,0.00
2026-03-06,17.2,0.00
2026-03-07,15.4,0.00
2026-03-08,16.0,0.00
2026-03-09,17.1,0.00
2026-03-10,17.9,0.00
2026-03-11,17.7,0.00
2026-03-12,17.7,0.00
2026-03-13,17.0,0.00
2026-03-14,16.3,0.00
2026-03-15,15.5,0.00
2026-03-16,15.9,0.00
2026-03-17,17.8,0.20
2026-03-18,19.1,0.00
2026-03-19,14.1,0.10
2026-03-20,10.5,4.10
2026-03-21,12.3,0.10
2026-03-22,15.3,0.00
2026-03-23,16.4,0.00
2026-03-24,16.0,0.00
2026-03-25,16.0,10.20
2026-03-26,17.6,0.00
2026-03-27,15.6,12.90
2026-03-28,13.7,49.40
2026-03-29,13.3,6.70
2026-03-30,15.6,0.30
2026-03-31,15.8,3.80
2026-04-01,14.8,17.70
2026-04-02,17.2,7.70
2026-04-03,15.5,4.30
2026-04-04,16.3,3.90
2026-04-05,18.8,0.40
2026-04-06,20.5,0.00
2026-04-07,20.5,0.00
2026-04-08,20.0,5.90
2026-04-09,16.7,0.00
2026-04-10,16.4,0.00
2026-04-11,15.8,0.00
2026-04-12,17.4,0.00
2026-04-13,19.2,0.00
2026-04-14,21.3,0.00
2026-04-15,23.8,0.00
2026-04-16,23.8,0.00
2026-04-17,21.0,2.10
2026-04-18,18.5,2.20
2026-04-19,19.2,0.00
2026-04-20,21.5,0.00
2026-04-21,24.2,0.00
2026-04-22,23.0,10.80
2026-04-23,15.8,1.90
2026-04-24,20.0,0.00
2026-04-25,21.8,0.00
2026-04-26,24.6,0.00
2026-04-27,25.8,0.00
2026-04-28,23.2,0.00
2026-04-29,25.1,0.00
2026-04-30,25.9,0.00
2026-05-01,17.3,2.20
2026-05-02,14.5,0.00
2026-05-03,11.1,12.00
2026-05-04,16.3,0.00
2026-05-05,21.0,0.00
2026-05-06,23.2,0.00
2026-05-07,26.2,0.00
2026-05-08,25.4,0.00
2026-05-09,27.3,0.50
2026-05-10,26.0,0.00
2026-05-11,29.5,0.00
2026-05-12,28.6,0.00
2026-05-13,28.5,0.00
2026-05-14,22.1,5.40
2026-05-15,23.4,0.00
2026-05-16,27.8,9.90
2026-05-17,23.6,1.50
2026-05-18,23.7,0.00
